COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 35247 lixiaojie   76u  IPv4 3112757897      0t0  TCP localhost:43388->localhost:vcom-tunnel (ESTABLISHED)
surreal-d 35248 lixiaojie   76u  IPv4 3112712439      0t0  TCP localhost:43392->localhost:vcom-tunnel (ESTABLISHED)
surreal-d 35249 lixiaojie   76u  IPv4 3112757896      0t0  TCP localhost:43386->localhost:vcom-tunnel (ESTABLISHED)
surreal-d 35250 lixiaojie   76u  IPv4 3112754370      0t0  TCP localhost:43390->localhost:vcom-tunnel (ESTABLISHED)
python    36895 lixiaojie   20u  IPv4 3112757877      0t0  TCP *:vcom-tunnel (LISTEN)
python    36895 lixiaojie   48u  IPv4 3112704839      0t0  TCP localhost:vcom-tunnel->localhost:43386 (ESTABLISHED)
python    36895 lixiaojie   49u  IPv4 3112704840      0t0  TCP localhost:vcom-tunnel->localhost:43388 (ESTABLISHED)
python    36895 lixiaojie   50u  IPv4 3112704841      0t0  TCP localhost:vcom-tunnel->localhost:43390 (ESTABLISHED)
python    36895 lixiaojie   51u  IPv4 3112704842      0t0  TCP localhost:vcom-tunnel->localhost:43392 (ESTABLISHED)
COMMAND   PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
python  36895 lixiaojie   23u  IPv4 3112757880      0t0  TCP *:teradataordbms (LISTEN)
python  36895 lixiaojie   37u  IPv4 3112566743      0t0  TCP localhost:teradataordbms->localhost:53164 (ESTABLISHED)
python  36895 lixiaojie   40u  IPv4 3112566744      0t0  TCP localhost:teradataordbms->localhost:53174 (ESTABLISHED)
python  36895 lixiaojie   41u  IPv4 3112566745      0t0  TCP localhost:teradataordbms->localhost:53180 (ESTABLISHED)
python  36897 lixiaojie   51u  IPv4 3112744420      0t0  TCP localhost:53164->localhost:teradataordbms (ESTABLISHED)
python  36898 lixiaojie   51u  IPv4 3112508398      0t0  TCP localhost:53174->localhost:teradataordbms (ESTABLISHED)
python  36899 lixiaojie   51u  IPv4 3112744421      0t0  TCP localhost:53180->localhost:teradataordbms (ESTABLISHED)
COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
python    36895 lixiaojie   32u  IPv4 3112744416      0t0  TCP *:mcreport (LISTEN)
python    36895 lixiaojie   42u  IPv4 3112720018      0t0  TCP localhost:mcreport->localhost:40150 (ESTABLISHED)
